Sala;Tipo de sala
201A;Sala média
202A;Sala média
203A;Sala média
204A;Sala média
301A;Sala média
302A;Sala média
303A;Sala média
304A;Sala média
305A;Sala pequena
201B;Sala média
202B;Sala média
203B;Sala média
204B;Sala média
301B;Sala média
302B;Sala média
303B;Sala média
304B;Sala média
101I;Sala média
102I;Sala média
103I;Sala média
104I;Sala média
201I;Sala média
202I;Sala média
203I;Sala média
204I;Sala média
301I;Sala média
302I;Sala média
303I;Sala média
304I;Sala média
201M;Sala média
202M;Sala média
203M;Sala média
204M;Sala média
207M;Sala pequena
209M;Sala grande
210M;Sala grande
301M;Sala média
302M;Sala média
303M;Sala média
304M;Sala média
309M;Sala grande
310M;Sala grande
103P;Sala pós
105P;Sala pós
106P;Sala pós
107P;Sala pós
110P;Sala pós
